Name,Cluster,NodeColor,NodeSize,BsR,Spd,50th_max_velo,Brls/BBE%,Swing%,SwStr%,HardHit%,HR/FB%,Z-Swing%,Z-Contact%,O-Swing%,O-Contact%
DJ LeMahieu,4,magenta,505,-4.4,3.0,100.3,5.9,39.2,6.8,43.1,15.5,55.9,89.8,25.9,70.3
Julio Rodríguez,2,red,630,5.2,6.0,104.1,11.9,53.8,14.4,52.0,19.6,73.0,85.1,41.0,58.9
George Springer III,7,purple,520,-0.4,4.6,100.3,7.7,49.2,9.8,39.4,12.1,76.1,87.4,27.5,63.4
Xander Bogaerts,4,magenta,600,0.9,5.2,98.5,6.1,42.6,8.1,34.4,11.7,60.3,88.3,28.6,68.6
Cal Raleigh,2,red,555,-2.2,2.1,101.0,12.6,49.7,14.0,40.7,17.3,72.5,80.6,34.5,59.6
Will Smith,4,magenta,595,-1.1,4.0,99.6,6.7,45.7,7.8,41.3,11.2,70.2,86.1,28.4,77.1
Eugenio Suárez,5,gold,510,-2.5,1.9,100.7,12.7,44.5,13.2,43.0,12.9,68.5,80.4,26.4,50.8
Nico Hoerner,8,brown,510,6.8,6.8,97.3,1.7,45.4,5.1,33.0,4.9,61.3,94.7,33.5,80.7
Triston Casas,1,green,645,-3.0,2.2,102.6,13.1,43.6,11.0,46.2,18.6,68.6,80.3,26.0,64.3
Dansby Swanson,5,gold,520,2.3,4.8,99.8,10.9,47.4,12.7,39.5,15.2,73.3,79.3,28.4,61.3
Jake Cronenworth,3,teal,460,2.4,5.8,97.7,4.4,47.3,6.4,33.2,6.8,67.3,93.1,31.0,74.9
Ronald Acuña Jr.,6,orange,850,8.8,7.3,106.4,15.3,46.2,7.8,55.0,24.0,72.8,87.8,26.8,73.8
Whit Merrifield,3,teal,465,1.3,4.5,94.9,2.4,50.9,9.1,24.1,6.5,70.2,87.7,36.4,74.1
J.T. Realmuto,7,purple,510,-0.4,6.4,101.3,11.2,50.3,12.2,42.7,13.2,72.0,83.4,34.1,63.8
Anthony Santander,7,purple,595,-0.7,3.5,101.7,10.2,49.1,10.4,46.1,12.7,67.8,85.9,37.7,70.8
Daulton Varsho,7,purple,425,2.3,5.4,99.9,7.3,49.4,10.5,36.0,11.2,71.1,87.1,32.4,64.1
Amed Rosario,3,teal,440,0.6,7.3,99.5,3.4,53.4,11.4,39.4,4.6,69.9,88.1,42.9,68.5
Eddie Rosario,9,blue,500,-1.9,3.7,98.6,9.5,57.1,15.7,35.1,15.6,74.3,79.8,45.9,64.5
Ketel Marte,4,magenta,635,0.0,5.8,101.6,8.0,45.4,8.5,42.8,14.9,70.1,89.0,27.7,67.0
Spencer Torkelson,1,green,535,0.1,3.3,102.7,14.1,46.3,10.3,50.5,15.0,70.2,85.5,27.7,62.1
Nick Castellanos,9,blue,545,-2.8,4.4,100.4,10.3,56.2,18.7,43.0,17.6,77.7,81.5,42.8,49.6
Teoscar Hernández,2,red,525,-4.4,3.7,103.0,13.8,53.7,17.8,49.4,16.6,74.9,79.1,38.5,49.8
Max Muncy,1,green,590,-1.1,2.9,101.3,14.6,39.2,11.0,46.0,21.8,59.6,81.4,26.0,57.8
Jack Suwinski,1,green,560,2.1,5.1,102.2,15.7,38.9,10.9,43.4,17.3,62.5,81.4,22.0,52.7
Marcell Ozuna,1,green,695,-2.1,1.7,103.3,16.6,48.5,12.2,49.0,24.7,71.9,85.1,32.5,59.5
Hunter Renfroe,7,purple,460,-1.6,1.3,100.5,6.1,50.9,12.3,38.8,13.2,72.6,85.8,36.4,62.5
Vladimir Guerrero Jr.,5,gold,590,-4.2,2.4,104.1,11.1,50.6,10.8,49.2,14.5,76.8,87.3,32.5,64.6
Bryson Stott,8,brown,505,5.0,6.0,97.4,4.7,44.5,6.0,35.2,9.4,58.9,90.7,32.3,80.3
Brandon Drury,2,red,570,-2.8,2.9,101.8,11.0,51.7,14.5,46.3,19.1,70.6,84.0,38.3,56.4
TJ Friedl Jr.,8,brown,580,6.1,7.2,96.4,3.2,41.3,6.8,27.4,11.4,58.1,90.5,27.7,71.5
Austin Hays,7,purple,560,-1.3,4.3,100.5,8.9,46.5,12.3,40.1,11.0,65.3,86.7,33.6,55.9
Isaac Paredes,4,magenta,685,-1.9,1.9,96.4,5.9,45.7,7.9,28.3,16.9,67.8,91.3,32.0,71.6
Ezequiel Tovar,9,blue,350,-0.8,5.5,99.0,8.1,59.3,17.1,35.7,10.6,81.0,84.7,45.4,55.7
Luis Arraez,8,brown,660,-1.4,2.9,95.7,3.5,50.8,3.1,25.2,6.5,68.8,95.3,35.7,91.5
José Ramírez,4,magenta,615,2.4,5.7,100.1,7.0,46.6,6.7,40.3,10.3,70.3,92.5,30.9,75.0
Ian Happ,4,magenta,590,1.1,5.0,99.7,9.0,44.4,10.2,39.0,13.1,68.7,84.5,26.8,63.3
Steven Kwan,8,brown,500,4.3,6.3,94.1,1.1,41.0,3.9,18.8,3.0,60.4,95.7,24.8,79.7
Luis Robert Jr.,2,red,640,-0.1,5.7,101.8,15.2,58.1,18.3,41.7,23.0,79.9,81.9,43.3,51.9
CJ Abrams,3,teal,450,9.2,8.4,98.8,6.9,53.0,10.3,35.7,10.7,72.3,87.9,38.6,70.0
Josh Bell,5,gold,525,-4.6,0.7,101.6,10.1,47.6,10.9,42.6,15.5,73.5,86.7,31.1,62.6
Freddie Freeman,0,pink,815,4.5,6.0,100.6,11.1,51.0,9.4,41.8,15.0,79.2,88.0,30.1,68.8
Nathaniel Lowe,4,magenta,570,-4.9,3.0,101.1,6.5,43.8,7.9,41.4,12.3,68.6,89.6,26.0,67.5
Carlos Santana,7,purple,505,0.6,4.0,99.4,6.7,45.3,9.3,36.2,13.5,70.2,85.1,27.4,69.1
Dominic Smith,3,teal,450,-5.9,2.2,97.2,6.6,49.0,9.0,30.8,7.3,69.7,87.5,33.9,73.0
Randy Arozarena,1,green,630,0.5,5.6,102.1,12.3,43.0,11.9,48.0,14.8,63.5,78.9,30.0,63.7
Jeff McNeil,3,teal,500,0.6,5.2,96.0,1.3,52.7,6.4,27.0,5.1,76.6,93.6,33.9,77.4
Orlando Arcia,7,purple,495,-2.3,2.3,99.2,6.9,46.1,10.4,40.9,14.8,68.8,84.4,28.8,64.3
Tim Anderson,3,teal,300,1.6,5.2,99.2,3.0,53.5,12.3,39.1,1.6,72.6,85.6,38.6,64.1
Trent Grisham,4,magenta,455,1.5,5.0,100.7,11.8,41.0,10.2,39.9,9.9,61.7,82.0,24.3,61.0
Cody Bellinger,7,purple,670,2.4,5.5,97.7,6.1,49.9,9.4,31.4,14.1,68.7,87.4,35.3,72.0
J.P. Crawford,0,pink,670,-0.1,2.7,99.1,4.8,38.5,6.3,36.2,12.3,60.4,90.3,21.9,69.9
Bobby Witt Jr.,7,purple,575,7.6,8.1,102.1,11.5,50.4,10.5,45.4,13.1,73.3,86.2,34.4,68.4
José Abreu,7,purple,430,-2.5,2.0,100.8,8.7,50.2,12.1,41.6,11.9,66.3,85.6,38.9,64.2
Rafael Devers,5,gold,620,-3.2,3.0,104.5,12.7,52.5,12.6,54.7,18.4,79.1,79.8,36.1,70.8
Trea Turner,7,purple,540,9.4,7.4,100.3,8.4,53.1,14.9,42.2,13.5,76.6,84.6,38.3,55.9
Carlos Correa,7,purple,480,-2.9,1.9,102.5,9.6,43.6,9.9,45.9,13.7,63.8,86.9,30.1,63.8
MJ Melendez Jr.,2,red,460,0.5,4.5,101.4,11.4,47.8,15.0,49.6,10.0,72.4,76.8,29.8,54.3
Andrew Benintendi,3,teal,435,1.7,5.0,95.5,2.9,48.8,8.4,26.8,3.0,70.9,87.2,31.8,75.1
Andrew Vaughn,7,purple,515,-4.5,2.1,101.7,8.4,47.5,10.4,46.5,13.3,66.6,89.4,34.9,64.0
Corey Seager,5,gold,845,-2.8,2.4,103.5,15.2,55.2,12.6,53.2,21.0,85.5,89.5,33.6,55.1
Fernando Tatis Jr.,2,red,565,3.0,5.9,102.9,11.0,54.1,15.3,48.9,17.0,81.7,80.3,35.7,58.3
Christian Walker,7,purple,600,1.2,4.8,100.6,11.2,48.5,11.9,40.1,15.9,74.0,85.2,30.4,58.7
Justin Turner,4,magenta,570,-5.2,3.1,98.6,5.7,45.0,7.0,39.0,12.2,65.1,91.0,29.6,73.2
Adley Rutschman,0,pink,635,-1.9,1.8,99.6,7.5,41.0,5.6,38.4,11.8,62.0,92.4,27.0,77.1
Michael Harris II,7,purple,575,4.9,6.1,103.6,10.1,52.7,11.6,48.5,14.5,68.2,86.2,41.6,68.3
Jeimer Candelario,7,purple,585,-0.1,5.3,99.2,7.8,47.3,10.2,36.3,14.2,69.9,87.2,32.0,65.4
Alex Verdugo,4,magenta,490,-0.5,4.8,99.1,5.0,40.8,5.6,37.6,8.4,58.6,94.3,25.2,70.2
Matt Chapman,1,green,550,-0.8,3.7,103.5,17.1,43.3,11.7,56.1,9.9,69.2,78.3,22.5,59.8
Shohei Ohtani,6,orange,900,2.5,6.6,105.7,19.3,48.0,13.9,53.3,31.2,70.7,81.4,33.3,56.5
Corbin Carroll,4,magenta,665,12.3,9.3,101.0,7.6,45.5,8.9,40.9,15.4,67.0,88.5,30.5,68.2
Bryce Harper,5,gold,710,-0.3,4.3,103.8,15.2,51.2,16.0,46.8,20.4,79.6,83.1,36.6,52.8
Bryan Reynolds,5,gold,550,1.4,5.8,101.0,11.1,47.4,12.5,47.1,16.4,75.1,85.8,30.2,55.0
Alec Bohm,7,purple,525,-3.3,2.9,100.4,5.7,49.9,7.8,41.7,12.6,70.1,90.7,34.3,74.6
Manny Machado,5,gold,570,-2.4,2.3,102.4,10.5,49.3,11.0,45.9,15.3,72.7,85.9,32.0,63.7
Ozzie Albies,7,purple,620,3.3,5.9,98.7,8.2,54.6,10.0,38.9,15.6,79.5,90.6,38.8,69.7
Jeremy Peña,3,teal,480,0.7,4.9,99.1,4.0,52.9,13.9,35.1,8.5,75.4,89.7,38.1,53.1
Marcus Semien,4,magenta,620,1.3,5.5,98.1,6.5,47.1,7.8,36.8,11.0,77.0,91.2,25.3,66.2
Andrés Giménez,3,teal,485,4.1,7.0,96.7,5.5,53.9,12.4,27.0,9.2,70.4,84.4,42.7,68.9
Lars Nootbaar,0,pink,590,1.8,4.9,100.3,8.8,35.3,5.8,37.8,13.6,54.5,89.1,20.4,72.3
James Outman,5,gold,590,3.4,6.2,100.0,11.1,45.9,15.3,39.5,18.4,71.7,78.4,28.1,45.6
J.D. Davis,2,red,520,-2.4,2.5,101.4,9.5,53.0,16.5,44.4,19.6,82.8,78.2,30.3,49.0
Kyle Tucker,0,pink,700,4.0,6.4,100.8,10.4,46.5,7.5,44.5,13.9,73.1,90.4,25.9,69.6
Alex Bregman,8,brown,625,-4.2,3.7,98.1,5.4,38.7,4.9,38.2,10.1,63.3,94.1,22.3,74.7
Nolan Arenado,7,purple,535,-2.1,2.9,99.3,7.3,48.5,9.1,38.1,13.8,67.1,91.9,36.8,68.9
Josh Jung,2,red,550,-3.4,3.0,101.6,11.9,51.9,13.7,47.1,17.8,74.2,84.0,36.1,58.4
Tommy Edman,3,teal,460,2.8,7.2,99.5,5.0,45.6,6.6,38.6,10.2,63.6,94.1,31.1,71.6
Keibert Ruiz,3,teal,465,-5.5,1.6,97.3,5.8,51.1,6.6,31.7,9.8,67.0,94.0,39.5,78.4
Jake Burger,2,red,600,-0.8,2.5,105.0,16.7,54.0,17.1,49.3,25.4,72.2,82.6,41.3,50.6
Elias Díaz,3,teal,405,-1.9,2.2,100.0,6.2,54.8,14.0,38.4,10.4,78.3,85.2,39.8,60.6
LaMonte Wade Jr.,0,pink,610,-1.5,3.4,99.5,9.1,39.0,7.7,39.8,12.3,65.2,89.2,20.7,60.8
Christian Yelich,1,green,610,7.2,6.0,103.2,9.3,45.0,10.9,49.9,20.2,70.3,85.3,28.0,59.7
Leody Taveras,7,purple,490,2.7,5.3,100.6,7.2,49.1,11.0,42.4,10.4,71.6,86.9,32.3,62.1
Lourdes Gurriel Jr.,7,purple,530,0.1,3.9,99.9,8.4,49.0,8.1,46.0,15.0,70.0,92.3,33.4,69.9
Matt Olson,6,orange,800,0.2,3.1,104.8,16.4,46.9,11.9,55.1,27.8,73.5,77.7,29.5,69.5
Masataka Yoshida,4,magenta,545,-1.9,4.9,100.1,6.6,43.3,7.3,40.6,12.2,59.9,88.7,29.3,73.4
Mark Canha,4,magenta,555,1.0,4.4,99.0,4.7,41.5,7.1,36.7,7.6,61.1,89.5,26.7,71.5
Pete Alonso,1,green,605,-0.6,3.8,102.3,14.7,43.7,10.3,39.9,22.9,64.1,84.6,30.2,64.7
Brent Rooker Jr.,5,gold,635,-0.7,3.3,102.7,15.6,46.1,16.2,49.5,21.6,66.4,78.6,32.0,44.9
Thairo Estrada,3,teal,505,1.9,5.7,97.9,4.8,51.1,10.4,33.7,10.9,67.8,92.1,40.0,65.7
Ke'Bryan Hayes,7,purple,505,-0.1,5.7,101.7,7.4,45.5,8.6,48.4,9.8,62.7,92.5,33.3,65.6
Bo Bichette,7,purple,625,-1.4,3.6,101.7,9.6,56.6,10.3,44.9,16.5,78.4,90.7,40.8,69.4
Zach McKinstry,3,teal,405,1.1,6.0,97.7,7.6,47.0,8.5,33.2,5.9,69.1,90.9,30.6,66.9
Matt Vierling,4,magenta,495,-0.2,4.7,100.6,4.6,44.2,7.2,42.0,8.8,61.3,90.1,30.6,73.4
Enrique Hernández,3,teal,360,-1.0,3.3,97.8,4.6,46.7,10.2,33.4,6.7,68.6,87.2,30.7,63.2
Lane Thomas,7,purple,545,1.7,6.0,100.2,9.6,43.6,9.0,40.5,16.4,62.1,89.8,30.6,64.4
Myles Straw,8,brown,345,3.3,5.9,95.1,0.5,43.8,5.1,23.1,0.9,62.0,91.4,27.1,82.2
Juan Soto,6,orange,775,-0.9,3.5,104.5,13.0,35.7,6.3,55.3,24.5,60.2,89.9,20.0,67.6
Jorge Soler,1,green,630,-2.9,1.8,103.1,15.0,44.2,11.0,48.0,21.2,68.7,85.4,29.2,60.1
Javier Báez,9,blue,305,2.3,6.5,100.2,5.1,54.7,16.7,38.8,7.3,69.3,82.0,46.0,58.2
Ryan McMahon,2,red,440,-3.1,3.9,102.0,11.4,47.2,14.2,44.2,19.2,69.0,76.2,30.1,58.7
Salvador Perez,9,blue,430,-5.2,1.2,101.4,8.7,60.1,17.0,43.6,13.7,77.5,83.9,49.5,60.2
Austin Riley,1,green,635,0.7,4.1,103.4,13.9,48.2,12.4,48.8,19.4,71.9,83.1,31.0,59.6
Willy Adames,7,purple,470,-1.0,3.5,99.1,12.4,49.9,14.2,36.1,13.6,73.7,83.5,35.6,56.5
Francisco Lindor,4,magenta,605,3.7,6.4,100.8,10.4,48.1,9.9,43.9,14.4,73.0,87.3,30.5,66.1
Joey Meneses,7,purple,480,-5.2,1.6,99.9,5.4,47.6,10.2,41.7,8.6,67.1,89.2,34.3,64.4
Adolis García,5,gold,620,1.4,4.5,102.9,16.1,48.6,14.4,49.7,21.5,74.3,78.9,33.0,58.5
Maikel Garcia,7,purple,420,1.3,6.3,101.5,3.9,42.9,7.7,50.6,4.1,65.7,87.7,24.4,69.8
Jonathan India,4,magenta,495,2.6,5.0,99.7,7.7,38.6,7.8,38.4,12.2,59.6,87.8,22.2,62.7
Anthony Volpe,7,purple,420,3.4,6.2,99.5,9.0,47.6,12.5,42.7,15.2,68.5,83.9,32.0,57.7
Kyle Schwarber,6,orange,595,-4.5,2.2,103.4,16.4,37.6,11.2,48.5,25.5,57.3,80.2,24.1,54.2
Ty France,7,purple,520,-4.3,2.5,99.3,6.8,53.2,10.7,38.4,7.3,74.7,91.5,37.9,63.8
Paul Goldschmidt,1,green,610,0.1,3.6,102.4,11.9,43.9,10.8,50.7,15.4,63.8,79.8,29.1,68.2
Mookie Betts,6,orange,835,0.7,4.7,100.9,12.5,38.1,5.8,48.1,16.7,63.0,93.9,20.0,64.3
Brandon Nimmo,0,pink,650,-3.4,4.0,101.5,9.5,42.3,8.1,47.7,13.6,64.5,88.1,24.0,64.8
Tyler Stephenson,5,gold,425,-2.3,2.7,100.0,7.6,42.6,10.9,43.2,13.7,63.3,85.0,27.5,56.4
William Contreras,1,green,620,-1.6,4.0,103.2,9.4,43.2,11.1,48.4,14.2,64.1,81.6,27.9,61.9
Yandy Díaz,6,orange,820,-4.4,1.8,104.3,9.5,42.6,7.0,54.0,17.7,68.5,90.1,22.8,68.1
Jurickson Profar,3,teal,380,-2.5,2.9,97.2,4.0,47.1,8.5,31.7,6.5,72.4,89.7,27.7,66.4
Ha-Seong Kim,8,brown,560,4.2,5.1,96.6,4.3,38.5,6.0,26.2,10.5,57.2,88.2,23.0,76.3
Gunnar Henderson,1,green,615,5.8,6.9,102.7,11.4,46.8,11.4,51.7,19.3,69.5,82.7,29.0,62.4
Gleyber Torres,4,magenta,615,-1.3,4.3,99.6,7.9,46.7,9.0,40.3,12.6,71.1,87.8,29.5,68.7
Bryan De La Cruz,7,purple,460,-3.7,2.5,100.3,8.8,50.0,13.4,42.4,12.0,72.0,80.5,35.8,63.6
Spencer Steer,4,magenta,590,-0.5,4.7,99.2,6.7,43.8,9.5,37.1,12.0,65.1,85.3,27.7,65.9
Seiya Suzuki,0,pink,630,-2.0,4.5,102.2,10.5,40.9,7.9,48.0,14.8,62.4,86.5,23.5,68.6
