Name,player_id
Shohei Ohtani,660271
Ronald Acuña Jr.,660670
Corey Seager,608369
Mookie Betts,605141
Yandy Díaz,650490
Freddie Freeman,518692
Matt Olson,621566
Juan Soto,665742
Bryce Harper,547180
Kyle Tucker,663656
Marcell Ozuna,542303
Isaac Paredes,670623
Cody Bellinger,641355
J.P. Crawford,641487
Corbin Carroll,682998
Luis Arraez,650333
Brandon Nimmo,607043
Triston Casas,671213
Luis Robert Jr.,673357
Adley Rutschman,668939
Brent Rooker,667670
Austin Riley,663586
Ketel Marte,606466
Jorge Soler,624585
Seiya Suzuki,673548
Julio Rodríguez,677594
Randy Arozarena,668227
Alex Bregman,608324
Bo Bichette,666182
William Contreras,661388
Marcus Semien,543760
Adolis García,666969
Ozzie Albies,645277
Rafael Devers,646240
Gunnar Henderson,683002
José Ramírez,608070
Gleyber Torres,650402
Paul Goldschmidt,502671
Christian Yelich,592885
LaMonte Wade Jr.,664774
Pete Alonso,624413
Francisco Lindor,596019
Jake Burger,669394
Christian Walker,572233
Xander Bogaerts,593428
Anthony Santander,623993
Kyle Schwarber,656941
Will Smith,669257
James Outman,681546
Max Muncy,571970
Lars Nootbaar,663457
Vladimir Guerrero Jr.,665489
Spencer Steer,668715
Ian Happ,664023
Jeimer Candelario,600869
TJ Friedl,670770
Michael Harris II,671739
Bobby Witt Jr.,677951
Nathaniel Lowe,663993
Justin Turner,457759
Manny Machado,592518
Brandon Drury,592273
Fernando Tatis Jr.,665487
Jack Suwinski,669261
Austin Hays,669720
Ha-Seong Kim,673490
Cal Raleigh,663728
Mark Canha,592192
Josh Jung,673962
Bryan Reynolds,668804
Matt Chapman,656305
Masataka Yoshida,807799
Nick Castellanos,592206
Lane Thomas,657041
Trea Turner,607208
Nolan Arenado,571448
Spencer Torkelson,679529
Lourdes Gurriel Jr.,666971
Alec Bohm,664761
Teoscar Hernández,606192
Josh Bell,605137
J.D. Davis,605204
George Springer,543807
Dansby Swanson,621020
Ty France,664034
Andrew Vaughn,683734
Eugenio Suárez,553993
Nico Hoerner,663538
J.T. Realmuto,592663
DJ LeMahieu,518934
Bryson Stott,681082
Ke'Bryan Hayes,663647
Thairo Estrada,642731
Carlos Santana,467793
Jeff McNeil,643446
Steven Kwan,680757
Eddie Rosario,592696
Jonathan India,663697
Orlando Arcia,606115
Matt Vierling,663837
Alex Verdugo,657077
Leody Taveras,665750
Andrés Giménez,665926
Jeremy Peña,665161
Carlos Correa,621043
Joey Meneses,608841
Willy Adames,642715
Whit Merrifield,593160
Keibert Ruiz,660688
Hunter Renfroe,592669
Tommy Edman,669242
Jake Cronenworth,630105
MJ Melendez,669004
Bryan De La Cruz,650559
Trent Grisham,663757
Dominic Smith,642086
CJ Abrams,682928
Amed Rosario,642708
Ryan McMahon,641857
Andrew Benintendi,643217
José Abreu,547989
Salvador Perez,521692
Daulton Varsho,662139
Tyler Stephenson,663886
Anthony Volpe,683011
Maikel Garcia,672580
Zach McKinstry,656716
Elias Díaz,553869
Jurickson Profar,595777
Enrique Hernández,571771
Ezequiel Tovar,678662
Myles Straw,664702
Javier Báez,595879
Tim Anderson,641313